lambda,tau,No-Change_Feasible_%,No-Change_Undercoverage,No-Change_Undercoverage_std,Low-Fatigue_Feasible_%,Low-Fatigue_Undercoverage,Low-Fatigue_Undercoverage_std,Unrestricted_Undercoverage,Unrestricted_Undercoverage_std,Unrestricted_SC,Unrestricted_SC_std,P_end,P_end_std,B_end,B_end_std,L_tail_k7,L_tail_k7_std
1.2000000000000002,0.6,0.0,1480.6,89.74809190172235,0.0,1377.7951999999998,87.09826951759719,1377.2879999999998,87.15248723932095,148.4,52.890074683252244,0.9840159999999999,0.010444661028487243,0.0,0.0,0.0,0.0
1.2000000000000002,0.7,0.0,1480.6,89.74809190172235,0.0,1377.8808000000001,87.27236070692717,1377.2879999999998,87.15248723932095,148.4,52.890074683252244,0.9840159999999999,0.010444661028487243,0.0,0.0,0.0,0.0
1.2000000000000002,0.7999999999999999,0.0,1480.6,89.74809190172235,0.0,1377.9752,87.57496377938158,1377.2879999999998,87.15248723932095,148.4,52.890074683252244,0.9840159999999999,0.010444661028487243,0.0,0.0,0.0,0.0
1.2000000000000002,0.8999999999999999,0.0,1480.6,89.74809190172235,0.0,1379.3488,87.20435476832566,1377.2879999999998,87.15248723932095,148.4,52.890074683252244,0.9840159999999999,0.010444661028487243,0.014000000000000002,0.031496031496047246,0.0,0.0
1.2000000000000002,0.9999999999999999,0.0,1480.6,89.74809190172235,0.0,1480.6,89.74809190172235,1377.2879999999998,87.15248723932095,148.4,52.890074683252244,0.9840159999999999,0.010444661028487243,0.25239999999999996,0.15860088272137704,6.76,0.8616263691415207
1.2000000000000002,1.0999999999999999,0.0,1480.6,89.74809190172235,0.0,2712.72,129.629478129012,1377.2879999999998,87.15248723932095,148.4,52.890074683252244,0.9840159999999999,0.010444661028487243,1.0,0.0,7.0,0.0
1.3000000000000003,0.5,0.0,1738.08,95.49572555879138,0.0,1654.0776,93.8456305761755,1654.72,93.45272156550608,115.8,47.75604673755984,0.9873519999999999,0.012094333218495354,0.0,0.0,0.0,0.0
1.3000000000000003,0.6,0.0,1738.08,95.49572555879138,0.0,1653.856,93.7908433910262,1654.72,93.45272156550608,115.8,47.75604673755984,0.9873519999999999,0.012094333218495354,0.0,0.0,0.0,0.0
1.3000000000000003,0.7,0.0,1738.08,95.49572555879138,0.0,1654.5728,93.29050299017581,1654.72,93.45272156550608,115.8,47.75604673755984,0.9873519999999999,0.012094333218495354,0.0,0.0,0.0,0.0
1.3000000000000003,0.7999999999999999,0.0,1738.08,95.49572555879138,0.0,1654.08,93.79536943794186,1654.72,93.45272156550608,115.8,47.75604673755984,0.9873519999999999,0.012094333218495354,0.0,0.0,0.0,0.0
1.3000000000000003,0.8999999999999999,0.0,1738.08,95.49572555879138,0.0,1652.6904000000002,92.8350813208024,1654.72,93.45272156550608,115.8,47.75604673755984,0.9873519999999999,0.012094333218495354,0.01,0.026381811916545837,0.0,0.0
1.3000000000000003,0.9999999999999999,0.0,1738.08,95.49572555879138,0.0,1738.08,95.49572555879138,1654.72,93.45272156550608,115.8,47.75604673755984,0.9873519999999999,0.012094333218495354,0.20079999999999998,0.1840634673149455,6.36,1.2611106216347558
1.3000000000000003,1.0999999999999999,0.0,1738.08,95.49572555879138,0.0,2944.04,140.6821893489009,1654.72,93.45272156550608,115.8,47.75604673755984,0.9873519999999999,0.012094333218495354,1.0,0.0,7.0,0.0
